sensor,bucket,timestamp,value,type
['kitchen_PIR'],1_5_9,1730911000000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911012000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911028000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911044000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911162000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911187000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911213000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911262000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911368000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911394000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911450000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911465000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911496000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911520000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911539000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911548000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911576000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911595000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911607000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911619000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911644000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911665000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911694000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911708000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911762000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911788000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911821000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911836000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911856000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911883000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911901000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911920000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911929000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911958000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911970000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730911986000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912012000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912054000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912067000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912092000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912104000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912115000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912127000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912168000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912179000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912190000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912200000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912229000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912240000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912254000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912271000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912290000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912302000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912315000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912346000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912368000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912394000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912415000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912435000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912447000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912458000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912470000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912477000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912504000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912517000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912535000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912546000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912562000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912575000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912589000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912606000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912635000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912679000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912691000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912708000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912719000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912730000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912741000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912755000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912777000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912806000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912828000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912837000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912851000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912867000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912890000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912903000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912912000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912931000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912958000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912973000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730912982000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913004000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913012000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913019000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913031000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913043000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913053000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913078000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913088000.0,kitchen,sensor
