sensor,bucket,timestamp,value,type,sensor_encoded
bathroom_PIR,1_3_6,2024-11-10 12:34:04.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 12:34:26.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 12:34:55.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 12:35:22.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 12:35:51.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 12:36:38.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 12:37:00.000,bathroom,sensor,0
kitchen_PIR,1_5_9,2024-11-10 12:38:04.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:38:27.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:38:45.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:42:17.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:42:55.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:43:02.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:43:17.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:43:56.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:48:32.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:51:08.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:51:51.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:52:03.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:52:10.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:52:38.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:54:09.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:54:20.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:57:00.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:57:22.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:57:34.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 12:57:48.000,kitchen,sensor,1
livingroom_magnetic_switch,1_4_11,2024-11-10 13:58:39.000,livingroomdoor,sensor,3
kitchen_PIR,1_5_9,2024-11-10 13:58:41.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 13:58:50.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 13:59:10.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 14:01:28.000,kitchen,sensor,1
bathroom_PIR,1_3_6,2024-11-10 14:16:58.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 14:17:45.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 14:28:35.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 14:29:01.000,bathroom,sensor,0
kitchen_PIR,1_5_9,2024-11-10 14:29:55.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 14:30:02.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 14:30:20.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 15:16:23.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 15:16:29.000,kitchen,sensor,1
livingroom_PIR,1_4_7,2024-11-10 15:19:34.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 15:31:08.000,livingroombedarea,sensor,2
livingroom_magnetic_switch,1_4_11,2024-11-10 15:31:43.000,livingroomdoor,sensor,3
bathroom_PIR,1_3_6,2024-11-10 15:31:54.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 15:32:11.000,bathroom,sensor,0
kitchen_PIR,1_5_9,2024-11-10 15:33:06.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 15:41:16.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 15:41:26.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 15:41:44.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 15:54:12.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 15:54:22.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 15:54:32.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 15:54:46.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 15:54:54.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 15:55:13.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 15:55:22.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 15:58:56.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 15:59:23.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 15:59:53.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 16:00:13.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 16:00:24.000,kitchen,sensor,1
bathroom_PIR,1_3_6,2024-11-10 17:13:09.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 17:13:19.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 17:13:27.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 17:13:35.000,bathroom,sensor,0
kitchen_PIR,1_5_9,2024-11-10 17:14:08.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:14:44.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:14:53.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:15:10.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:15:26.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:15:37.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:15:58.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:16:18.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:16:46.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:17:09.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:17:17.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:17:37.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:17:55.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:18:04.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:18:15.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:18:25.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:18:40.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:18:48.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:19:02.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:26:30.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:26:48.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:27:10.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:28:37.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:29:05.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:29:45.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 17:30:00.000,kitchen,sensor,1
livingroom_magnetic_switch,1_4_11,2024-11-10 17:32:25.000,livingroomdoor,sensor,3
livingroom_magnetic_switch,1_4_11,2024-11-10 17:41:18.000,livingroomdoor,sensor,3
bathroom_PIR,1_3_6,2024-11-10 17:41:28.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 17:41:38.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 17:41:47.000,bathroom,sensor,0
kitchen_PIR,1_5_9,2024-11-10 22:10:44.000,kitchen,sensor,1
bathroom_PIR,1_3_6,2024-11-10 22:12:35.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 22:12:47.000,bathroom,sensor,0
kitchen_PIR,1_5_9,2024-11-10 22:14:12.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 22:14:28.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 22:14:44.000,kitchen,sensor,1
kitchen_PIR,1_5_9,2024-11-10 22:14:59.000,kitchen,sensor,1
