group_id,value,start_time,end_time,duration,duration_seconds
177,kitchen,2024-12-14 18:41:28.055,2024-12-14 18:43:24.446,0 days 00:01:56.391000,116.391
178,bathroom,2024-12-14 18:43:33.942,2024-12-14 18:43:33.942,0 days 00:00:00,0.0
179,kitchen,2024-12-14 18:43:37.412,2024-12-14 18:43:39.233,0 days 00:00:01.821000,1.821
180,bathroom,2024-12-14 18:44:03.622,2024-12-14 18:48:01.511,0 days 00:03:57.889000,237.889
181,kitchen,2024-12-14 18:50:39.234,2024-12-14 18:51:07.624,0 days 00:00:28.390000,28.39
182,bathroom,2024-12-14 18:51:16.689,2024-12-14 18:51:16.689,0 days 00:00:00,0.0
183,kitchen,2024-12-14 18:51:25.111,2024-12-14 19:15:36.589,0 days 00:24:11.478000,1451.478
184,bathroom,2024-12-14 19:15:42.827,2024-12-14 19:15:50.866,0 days 00:00:08.039000,8.039
185,kitchen,2024-12-14 19:15:51.287,2024-12-14 19:15:51.287,0 days 00:00:00,0.0
186,bathroom,2024-12-14 19:15:56.523,2024-12-14 19:15:56.523,0 days 00:00:00,0.0
187,kitchen,2024-12-14 19:16:06.053,2024-12-14 19:16:06.262,0 days 00:00:00.209000,0.209
188,bathroom,2024-12-14 19:16:14.910,2024-12-14 19:16:14.910,0 days 00:00:00,0.0
189,kitchen,2024-12-14 19:16:17.374,2024-12-14 19:16:17.936,0 days 00:00:00.562000,0.562
190,bathroom,2024-12-14 19:16:23.602,2024-12-14 19:16:23.602,0 days 00:00:00,0.0
191,kitchen,2024-12-14 19:16:24.490,2024-12-14 19:16:39.947,0 days 00:00:15.457000,15.457
192,bathroom,2024-12-14 19:16:46.021,2024-12-14 19:16:46.021,0 days 00:00:00,0.0
193,kitchen,2024-12-14 19:16:56.727,2024-12-14 19:16:56.727,0 days 00:00:00,0.0
194,bathroom,2024-12-14 19:17:02.021,2024-12-14 19:17:02.021,0 days 00:00:00,0.0
195,kitchen,2024-12-14 19:17:05.039,2024-12-14 19:17:05.039,0 days 00:00:00,0.0
196,bathroom,2024-12-14 19:17:08.997,2024-12-14 19:17:08.997,0 days 00:00:00,0.0
197,kitchen,2024-12-14 19:17:30.789,2024-12-14 19:17:30.789,0 days 00:00:00,0.0
198,bathroom,2024-12-14 19:17:32.053,2024-12-14 19:17:32.053,0 days 00:00:00,0.0
199,kitchen,2024-12-14 19:17:37.740,2024-12-14 19:17:37.740,0 days 00:00:00,0.0
200,bathroom,2024-12-14 19:17:38.709,2024-12-14 19:21:20.951,0 days 00:03:42.242000,222.242
201,kitchen,2024-12-14 19:21:26.881,2024-12-14 19:21:26.881,0 days 00:00:00,0.0
202,bathroom,2024-12-14 19:21:28.176,2024-12-14 19:21:28.176,0 days 00:00:00,0.0
203,kitchen,2024-12-14 19:21:29.722,2024-12-14 19:21:35.762,0 days 00:00:06.040000,6.04
204,bathroom,2024-12-14 19:21:45.720,2024-12-14 19:21:45.720,0 days 00:00:00,0.0
205,kitchen,2024-12-14 19:21:49.440,2024-12-14 19:21:49.440,0 days 00:00:00,0.0
206,bathroom,2024-12-14 19:21:55.658,2024-12-14 19:21:55.658,0 days 00:00:00,0.0
207,kitchen,2024-12-14 19:21:57.501,2024-12-14 19:22:03.863,0 days 00:00:06.362000,6.362
208,bathroom,2024-12-14 19:22:04.166,2024-12-14 19:22:04.166,0 days 00:00:00,0.0
209,kitchen,2024-12-14 19:22:08.987,2024-12-14 19:22:19.611,0 days 00:00:10.624000,10.624
210,bathroom,2024-12-14 19:22:20.543,2024-12-14 19:22:20.543,0 days 00:00:00,0.0
211,kitchen,2024-12-14 19:22:22.346,2024-12-14 19:22:47.746,0 days 00:00:25.400000,25.4
212,bathroom,2024-12-14 19:22:50.074,2024-12-14 19:22:50.074,0 days 00:00:00,0.0
213,kitchen,2024-12-14 19:22:55.398,2024-12-14 19:23:37.540,0 days 00:00:42.142000,42.142
214,bathroom,2024-12-14 19:23:40.018,2024-12-14 19:23:40.018,0 days 00:00:00,0.0
215,kitchen,2024-12-14 19:23:42.211,2024-12-14 19:25:26.516,0 days 00:01:44.305000,104.305
216,bathroom,2024-12-14 19:25:33.626,2024-12-14 19:25:33.626,0 days 00:00:00,0.0
217,kitchen,2024-12-14 19:25:37.382,2024-12-14 19:25:37.382,0 days 00:00:00,0.0
218,bathroom,2024-12-14 19:25:40.733,2024-12-14 19:25:40.733,0 days 00:00:00,0.0
219,kitchen,2024-12-14 19:25:42.971,2024-12-14 19:25:42.971,0 days 00:00:00,0.0
